,2013-01-11,2013-01-18,2013-01-25,2013-02-01,2013-02-08,2013-02-15,2013-02-22,2013-03-01,2013-03-08,2013-03-11,
1.75_5_400,104199.46,110967.04000000002,107907.95,113566.60999999999,121312.36,127909.42000000004,128893.74000000006,131708.15000000014,123593.10000000015,125335.51000000015,
1.25_21_400,103926.06000000003,107723.57000000005,103082.37000000002,108387.13000000006,113120.0100000001,116598.3800000001,115009.40000000015,116227.09000000016,107432.65000000008,108581.69000000012,
1.0_5_300,106292.47000000004,110300.53000000012,104415.02000000014,110004.37000000011,116399.11000000019,123477.06000000019,122277.80000000016,126552.71000000014,117271.8500000001,119035.36000000004,
1.5_5_400,103855.68999999999,110240.36000000002,106809.58000000002,112744.82,120804.31000000008,127536.5100000001,128691.57000000005,132347.8000000001,122516.3700000001,124144.54000000007,
2.0_21_300,102838.70000000001,105796.26000000001,103342.07000000002,106218.96000000004,109197.09000000004,112023.76,111519.05999999997,114041.90999999995,109198.59999999996,109839.96999999996,
1.25_5_400,104762.29,110580.96000000004,105920.52000000003,112239.79000000008,119906.32000000018,126695.97000000016,126412.16000000013,130611.47000000006,120671.47000000006,122270.31,
1.5_21_300,102947.27000000008,106882.33999999998,104342.31,108502.77999999998,112269.12999999993,115861.34999999992,114651.66999999993,115842.5499999999,109335.88999999982,110417.03999999994,
1.25_10_400,104336.65000000005,109804.49000000015,106403.99000000017,110905.85000000017,117950.29000000017,123823.97000000016,123929.70000000017,127707.41000000015,119484.5300000001,120897.0900000002,
1.75_5_300,104272.31000000001,109783.79000000005,107308.20000000003,112174.81999999999,119395.83,126449.25000000004,127791.41000000005,131105.9800000001,124531.9800000001,126274.3900000001,
1.25_10_300,104641.70000000006,109882.59000000014,107206.24000000015,111182.10000000014,117772.50000000013,124114.54000000012,123235.50000000012,127974.7800000001,121317.55000000006,122730.11000000016,
1.75_10_300,102988.55000000006,108526.20000000001,106173.29,111271.38999999996,117691.96999999991,123970.27999999993,123732.41999999997,127279.36999999992,121794.72999999991,123037.88999999994,
1.5_5_300,104536.34999999999,110142.99000000003,107325.09000000003,112479.79,120384.18000000007,127597.24000000008,128461.24000000005,132334.02000000016,124270.72000000015,125898.89000000012,
1.5_21_400,103082.52000000006,107439.58999999997,104435.73999999998,109359.31999999996,113065.98999999992,115872.06999999989,114366.62999999992,114970.2699999999,107335.79999999981,108416.94999999992,
1.0_10_300,105486.48999999995,108353.65000000001,104914.88000000002,108893.19999999998,116651.37000000001,122836.78,121529.93000000001,126114.26999999996,118405.56,119967.06999999995,
2.0_10_400,103026.12000000002,107970.49000000005,105049.48000000001,110447.84,115237.19999999988,120360.15999999984,119962.21999999988,124060.15999999981,117968.37999999982,118872.14999999979,
2.0_21_400,102975.34000000001,106238.92000000001,103752.33000000002,106975.72000000003,109811.83000000005,112022.7,110923.43999999999,113847.33999999997,108885.9,109527.26999999999,
1.75_10_200,102977.51000000007,107771.04000000002,107456.38,112121.67999999998,118363.33999999992,125153.09999999995,125116.18999999996,126335.2699999999,122409.72999999994,123636.68999999997,
1.75_21_400,103116.69000000005,107023.74999999999,103655.72999999997,107114.64999999997,110949.01999999996,113308.28999999988,111918.43999999989,114377.63999999987,106072.03999999983,107011.71999999987,
